objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
hguvid1,,-Eg_yrpjmlY&t=1s,,The Rebel,He Gets Us Youtube,2022,Video advertisement,,,,,https://www.youtube.com/watch?v=-Eg_yrpjmlY&t=1s,,Video,Video,eng,,
hguvid2,,94BqlDQ-Ppo,,Foot Washing,He Gets Us Youtube,2024,Video advertisement,,,,,https://www.youtube.com/watch?v=94BqlDQ-Ppo,,,,,,
