objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
hguvid1,,-Eg_yrpjmlY,,The Rebel,He Gets Us Youtube,2022,Video advertisement,,,,,https://www.youtube.com/watch?v=-Eg_yrpjmlY&t=1s,,Video,Video,eng,,
hguvid2,,00Tlbse3a57i6uWX,,Foot Washing,He Gets Us Youtube,2024,Video advertisement,,,,,https://www.youtube.com/watch?v=94BqlDQ-Ppo,,,,,,
